search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,728,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 728 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing | Complaint rate increase: 1.4 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.4,0.0,1.4,,,0.8,True,2,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Lexington by Hotel RL Miami Beach,"4299 Collins Ave, Miami Beach, FL 33140, USA",3.4,2592,OPERATIONAL,11,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 2592 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=14622746125607560830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Hilton Miami Airport Blue Lagoon,"5101 Waterford District Dr, Miami, FL 33126, USA",3.9,7086,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 7086 | Negative review signal: smell | Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.2 | Renovation signals in reviews: 200.0%,2,5,0,100.0,2.2,0.0,2.2,1.2,0.0,1.2,,,2.0,True,2,https://maps.google.com/?cid=16753740022523085656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down | Renovation signals in reviews: 100.0%,0,3,2,50.0,3.33,3.5,-0.17,1.33,1.0,0.33,,,1.0,True,2,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",3.6,2105,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 2105 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: unsafe | Negative review signal: refund | Negative review signal: disappointing | Review volume decline: -33.33% | Renovation signals in reviews: 100.0%,2,2,3,-33.33,1.0,1.0,0.0,1.0,2.67,-1.67,,,1.0,True,2,https://maps.google.com/?cid=2708707322529837040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Crest Hotel Suites,"1670 James Ave, Miami Beach, FL 33139, USA",3.7,1450,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 1450 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: refund | Operational distress signal: run down | Complaint rate increase: 0.8 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,0.8,0.0,0.8,,,0.8,True,2,https://maps.google.com/?cid=4374670543112714420&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,James Hotel,"1680 James Ave, Miami Beach, FL 33139, USA",3.6,902,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 902 | Negative review signal: smell | Negative review signal: rude | Negative review signal: refund | Review volume decline: -33.33% | Rating decline: -0.67 | Renovation signals in reviews: 100.0%,4,2,3,-33.33,1.0,1.67,-0.67,1.0,0.67,0.33,,,1.0,True,2,https://maps.google.com/?cid=7730705687648854841&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Holiday Inn Miami Beach-Oceanfront by IHG,"4333 Collins Ave, Miami Beach, FL 33140, USA",3.8,3564,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3564 | Negative review signal: rude | Negative review signal: noise | Negative review signal: disappointing | Rating decline: -1.75 | Complaint rate increase: 0.75 | Renovation signals in reviews: 40.0%,4,4,1,300.0,3.25,5.0,-1.75,0.75,0.0,0.75,,,0.4,True,2,https://maps.google.com/?cid=14822438388344559019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Fontainebleau Miami Beach Private Suites,"4391 Collins Ave #715, Miami Beach, FL 33140, USA",3.7,45,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 45 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: refund | Rating decline: -1.0 | Renovation signals in reviews: 40.0%,2,1,1,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,,0.4,True,2,https://maps.google.com/?cid=14331867207125967385&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Miami International Airport Hotel,"Le Jeune Rd, Concourse E 2nd Floor Miami International Airport Hotel, NW 20th St, Miami, FL 33122, USA",4.1,27969,OPERATIONAL,10,Negative review signal: dirty | Negative review signal: smell | Operational distress signal: closed | Operational distress signal: run down | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=12243781252096870701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Ramada by Wyndham Miami Springs/Miami International Airport,"5001 NW 36th St, Miami Springs, FL 33166, USA",3.8,3345,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3345 | Negative review signal: smell | Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=8313421339966654184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Days Inn by Wyndham Miami Airport North,"4767 NW 36th St, Miami, FL 33166, USA",2.7,3089,OPERATIONAL,10,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 3089 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.8,0.0,2.8,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=18130091764044135894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Hotel Evernia,"609 Evernia St, West Palm Beach, FL 33401, USA",3.6,175,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 175 | Negative review signal: cockroach | Negative review signal: refund | Negative review signal: noise | Operational distress signal: closed | Rating decline: -5.0 | Renovation signals in reviews: 60.0%,2,0,1,-100.0,0.0,5.0,-5.0,0.0,1.0,-1.0,,,0.6,True,2,https://maps.google.com/?cid=1445896071957179283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Casa Marina,"Key West, FL 33040, USA",2.6,24,OPERATIONAL,10,Low rating: 2.6 | Moderate-to-low rating with enough reviews: 24 | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=5048248402275417001&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Kapp and Kappy B&B,"21 N Clyde Ave, Kissimmee, FL 34741, USA",4.5,58,OPERATIONAL,10,Negative review signal: smell | Negative review signal: broken | Operational distress signal: run down | Rating decline: -2.67 | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,4,3,1,200.0,2.33,5.0,-2.67,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=7880857910477186563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Lambert Inn,"410 W Vine St, Kissimmee, FL 34741, USA",3.1,58,OPERATIONAL,10,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 58 | Negative review signal: filthy | Rating decline: -1.0 | Complaint rate increase: 0.5 | Renovation signals in reviews: 33.0%,4,2,1,100.0,3.0,4.0,-1.0,0.5,0.0,0.5,,,0.33,True,2,https://maps.google.com/?cid=6902416395142631673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Flamingo Inn,"801 E Vine St, Kissimmee, FL 34744, USA",3,213,OPERATIONAL,10,Low rating: 3 | Moderate-to-low rating with enough reviews: 213 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: unsafe | Rating decline: -2.67 | Complaint rate increase: 1.33,4,3,1,200.0,2.33,5.0,-2.67,1.33,0.0,1.33,,,0.0,False,0,https://maps.google.com/?cid=2949369907576545270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Albion Hotel,"1650 James Ave, Miami Beach, FL 33139, USA",3.9,1611,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1611 | Negative review signal: smell | Negative review signal: noise | Rating decline: -1.25 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,3.75,5.0,-1.25,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=5095127357214573669&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Hyatt Centric South Beach Miami,"1600 Collins Ave, Miami Beach, FL 33139, USA",4,1049,OPERATIONAL,9,Negative review signal: dirty | Operational distress signal: understaffed | Operational distress signal: declining | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=11288972354984257119&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Radisson Resort Miami Beach,"4343 Collins Ave, Miami Beach, FL 33140, USA",3.7,2398,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 2398 | Negative review signal: rude | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=7823534885686218488&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Roami at The Carmela,"4025 Indian Creek Dr, Miami Beach, FL 33140, USA",1.3,4,OPERATIONAL,9,Low rating: 1.3 | Negative review signal: smell | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 75.0%,2,4,0,100.0,1.25,0.0,1.25,1.0,0.0,1.0,,,0.75,True,2,https://maps.google.com/?cid=2943937046677957941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Eurostars Langford,"121 SE 1st St, Miami, FL 33131, USA",4.1,1673,OPERATIONAL,9,Negative review signal: filthy | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned | Rating decline: -1.5 | Complaint rate increase: 1.0,4,4,1,300.0,3.5,5.0,-1.5,1.0,0.0,1.0,,,0.2,False,0,https://maps.google.com/?cid=11219080890172645630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Leamington Hotel,"307 NE 1st St, Miami, FL 33132, USA",2.3,1078,OPERATIONAL,9,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 1078 | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down | Renovation signals in reviews: 200.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,True,2,https://maps.google.com/?cid=18001152706082396593&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Element by Marriott Fort Lauderdale Downtown,"299 N Federal Hwy, Fort Lauderdale, FL 33301, USA",4.3,419,OPERATIONAL,9,Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=16673985674074620265&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Orlando Inn International Drive Area,"5900 American Way, Orlando, FL 32819, USA",2.9,16,OPERATIONAL,9,Low rating: 2.9 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: rude | Negative review signal: unsafe | Negative review signal: stained | Complaint rate increase: 1.2,2,5,0,100.0,1.8,0.0,1.8,1.2,0.0,1.2,,,0.2,False,0,https://maps.google.com/?cid=17291968103926665780&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,"Motel 6 Orlando, FL - International Dr","5909 American Way, Orlando, FL 32819, USA",3.5,3643,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 3643 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: cockroach | Negative review signal: refund | Complaint rate increase: 1.4,2,5,0,100.0,3.2,0.0,3.2,1.4,0.0,1.4,,,0.2,False,0,https://maps.google.com/?cid=3342990123999511624&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Hotel Chelsea,"944 Washington Ave, Miami Beach, FL 33139, USA",4.4,2209,OPERATIONAL,8,Negative review signal: smell | Negative review signal: mold | Rating decline: -0.75 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,4.25,5.0,-0.75,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=2132610243037929707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,The Kent Hotel,"1131 Collins Ave, Miami Beach, FL 33139, USA",4,804,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Rating decline: -0.5 | Complaint rate increase: 0.67,6,2,3,-33.33,3.5,4.0,-0.5,1.0,0.33,0.67,,,0.2,False,0,https://maps.google.com/?cid=16420776550411770845&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,"Hotel Beaux Arts, Autograph Collection","Located Inside Of The Jw Marriott Marquis Miami Tower, 255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,223,OPERATIONAL,8,Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=1128660527434867917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,La Mare Hotel and Residence,"1451 S Miami Ave, Miami, FL 33130, USA",3,2,OPERATIONAL,8,Low rating: 3 | Negative review signal: smell | Negative review signal: noise | Complaint rate increase: 2.0 | Renovation signals in reviews: 50.0%,2,1,0,100.0,1.0,0.0,1.0,2.0,0.0,2.0,,,0.5,True,2,https://maps.google.com/?cid=17483190104859943782&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Tru by Hilton Miami Airport South Blue Lagoon,"5560 Waterford District Dr, Miami, FL 33126, USA",4.1,525,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: refund | Rating decline: -2.5 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,2.5,5.0,-2.5,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=11577357549477958621&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Sleep Inn Miami Airport,"105 Fairway Dr, Miami Springs, FL 33166, USA",3.5,2480,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2480 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9242900432781386251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Comfort Suites Miami Airport North,"657 Minola Dr, Miami Springs, FL 33166, USA",3.9,2535,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2535 | Negative review signal: filthy | Negative review signal: smell | Negative review signal: cockroach | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=9442010565865043997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,West Palm Beach Marriott,"1001 Okeechobee Blvd, West Palm Beach, FL 33401, USA",4.2,1790,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: rude | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=15251747433384022274&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,"Casa Marina Key West, Curio Collection by Hilton","1500 Reynolds St, Key West, FL 33040, USA",3.7,4464,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 4464 | Negative review signal: mold | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 100.0%,2,5,0,100.0,4.8,0.0,4.8,1.0,0.0,1.0,,,1.0,True,2,https://maps.google.com/?cid=5877708265294663205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Cambria Hotel Orlando Universal Blvd,"6801 Visitors Cir, Orlando, FL 32819, USA",4.5,1992,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9952511325429446789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,"Hotel Continental Miami Beach, Tapestry Collection by Hilton","4000 Collins Ave, Miami Beach, FL 33140, USA",4.2,721,OPERATIONAL,7,Negative review signal: leak | Negative review signal: broken | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=14974509022598601709&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Sorrento Tower,"Miami Beach Boardwalk, Miami Beach, FL 33140, USA",4.3,75,OPERATIONAL,7,Negative review signal: broken | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 3.0 | Renovation signals in reviews: 300.0%,2,1,0,100.0,1.0,0.0,1.0,3.0,0.0,3.0,,,3.0,True,2,https://maps.google.com/?cid=5507356121727872017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,JW Marriott Marquis Miami,"255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,2684,OPERATIONAL,7,Negative review signal: mold | Negative review signal: worst | Negative review signal: disappointing | Complaint rate increase: 0.8 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,0.8,0.0,0.8,,,0.6,True,2,https://maps.google.com/?cid=4766785321021611421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,"Dua Miami, Autograph Collection","1300 S Miami Ave, Miami, FL 33130, USA",4.4,1871,OPERATIONAL,7,Negative review signal: filthy | Negative review signal: smell | Negative review signal: broken | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=9884043752035724113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,"Brickell Arch, a Luxury Collection Hotel, Miami","1395 Brickell Ave, Miami, FL 33131, USA",4.3,2458,OPERATIONAL,7,Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=14979633365157170012&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,The Lofts On Clematis | Stay West Palm,"208 Clematis St, West Palm Beach, FL 33401, USA",3.7,40,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 40 | Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Complaint rate increase: 1.0,4,2,3,-33.33,5.0,5.0,0.0,1.0,0.0,1.0,,,0.0,False,0,https://maps.google.com/?cid=4152169464598314371&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Universal Endless Summer Resort – Surfside Inn and Suites,"7000 Universal Blvd, Orlando, FL 32819, USA",4.6,8635,OPERATIONAL,7,Negative review signal: leak | Negative review signal: worst | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=17680368040271103433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,The Sagamore Hotel South Beach,"The Sagamore, 1671 Collins Ave, Miami Beach, FL 33139, USA",4.1,1505,OPERATIONAL,6,Negative review signal: dirty | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 120.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,1.2,True,2,https://maps.google.com/?cid=11420855883346666111&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,The Marlin Hotel,"1200 Collins Ave, Miami Beach, FL 33139, USA",4.4,645,OPERATIONAL,6,Negative review signal: smell | Negative review signal: mold | Rating decline: -1.5 | Renovation signals in reviews: 40.0%,2,4,1,300.0,3.5,5.0,-1.5,0.75,1.0,-0.25,,,0.4,True,2,https://maps.google.com/?cid=3358965326907452202&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Fairwind Hotel Miami,"1000 Collins Ave, Miami Beach, FL 33139, USA",3.9,1457,OPERATIONAL,6,Moderate-to-low rating with enough reviews: 1457 | Negative review signal: rude | Operational distress signal: closed | Renovation signals in reviews: 60.0%,0,5,0,100.0,3.8,0.0,3.8,0.4,0.0,0.4,,,0.6,True,2,https://maps.google.com/?cid=14803318585697791346&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,aeropuerto de miami,"1051 Collins Ave, Miami Beach, FL 33139, USA",3,1,OPERATIONAL,6,Low rating: 3 | Operational distress signal: closed | Rating decline: -3.0,2,0,1,-100.0,0.0,3.0,-3.0,0.0,1.0,-1.0,,,0.0,False,0,https://maps.google.com/?cid=8900012137151782234&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Soho Beach House,"4385 Collins Ave, Miami Beach, FL 33140, USA",4.5,1729,OPERATIONAL,6,Review volume decline: -33.33% | Rating decline: -0.67 | Renovation signals in reviews: 40.0%,4,2,3,-33.33,3.0,3.67,-0.67,0.0,0.0,0.0,,,0.4,True,2,https://maps.google.com/?cid=6771183081995081757&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
